"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
-34.3240546516547,-13.739172353719,-42.4559028951779,-10.8454440127208,-52.6114261524223,-52.1676156169182,-57.681432670111,-25.9188282822335,-39.7108814831791,-33.8859742654042,-32.1186016623089,-45.0889196456999,-36.3182623357221,-29.7469054497844,-74.0791549463736,-54.5480701106826,-47.40188954929,-30.1815410240891,-45.9873346834147,-44.5645052777678,-35.5410740008919,-39.5768117685931,-49.4390075693597,-34.6892621303791,-22.6938880196426,-52.1372981546018,-35.9505128318052,-47.4507995953924,-25.1301297685717,-29.518260778754,-23.3328170853594,-45.4391178061209,-45.0173936495995,-44.7456048358128,-40.1799040762475,-24.6429942714209,-53.5201690226642,-43.2461812462399,-58.2296650611154,-46.1773430422476,-33.480238265951,-48.3234625448634,-35.52535745051,-54.045361534021,-33.2275332156745,-40.8319748081869,-53.5909962820196,-40.913441314321,-35.3296621680332,-36.76971847253
-17.7105645261602,-7.06872428476146,-19.2887439178405,-0.625361726013206,-23.4842122321659,-24.8049858084992,-26.7653776719575,-14.1048440552078,-19.7594639204933,-15.1257402029934,-15.0099449668162,-21.0152682881474,-17.0098378850631,-13.3627414757931,45.6858187967984,-24.8724350416849,-22.6222696160281,-15.2614291851438,-22.0735510111296,-21.7798690403321,-15.2937256754591,-19.6966311040276,-24.1340163726097,-17.5807122343185,-10.6139645183828,-24.1746776885547,-16.4101070432968,-22.4012935088784,-13.7187165414206,-15.0639764261298,-11.4409270964725,-20.868067376384,-21.5853054206859,-20.0179007546806,-17.7425683046213,-12.1936662231703,-24.201241528387,-21.6191778266913,-26.9629242018366,-23.2440174984496,-14.1531940772836,-21.9415171968352,-18.4232056595774,-25.308597881344,-15.6798230039751,-18.5230126240541,-26.7353870482185,-18.0343460993437,-16.8354250579045,-18.2468536049155
-45.1102876302627,-18.1259284925438,-51.4212559840018,27.8654555525697,-58.8019913659196,-61.8833414700094,-65.9294810146367,-33.7646909274293,-49.4755414188169,-38.027501545808,-38.5307164045871,-53.3455743364543,-39.070783765792,-32.2372665438587,250.590270832169,-63.2539660926706,-57.7554149514332,-35.2113049878591,-53.5158401240522,-54.4504291689503,-39.3169225007579,-46.4984750176382,-58.7122987807264,-40.7573371394555,-28.1176847951968,-59.2403107462388,-41.7236746995243,-52.8140608953253,-33.7149179298048,-31.4558859409544,-24.4951771670365,-54.2372423644985,-54.0524086342499,-52.7883822131998,-47.3958790455849,-32.6297460050413,-62.6153780298909,-54.0793569609401,-66.7025713007415,-57.1298269113668,-37.9351323144216,-55.8206182680889,-42.3525882842519,-63.249065490777,-39.9927106829418,-44.0333234185298,-62.8064749724345,-47.1565099458808,-40.977436921345,-43.8645426955613
-18.0151188697844,-10.7088736684846,-20.2011260709231,-4.02504194522246,-23.6647254388409,-23.1455340175257,-26.3741310592074,-13.2335925400041,-18.675633046823,-16.4764101209776,-14.6205405347971,-21.8981410228643,-16.3776714472658,-14.2121418976101,41.1428924513645,-25.1077183942681,-21.9493123668669,-14.0966019438549,-21.646606935898,-20.9189721466149,-17.2474946778818,-19.4909757130867,-23.5139224769391,-15.9305387029019,-13.1306091727736,-23.9688007222106,-17.2783149439037,-21.6497443821738,-12.1814708305592,-14.1177361576538,-11.5318434508282,-20.3437675779065,-21.6644014404879,-19.9291561114301,-18.2079805561621,-12.4719522999623,-23.0331222575229,-21.0476148448832,-24.9735934820477,-21.9594972745565,-15.6574134396038,-22.2748222607869,-17.4315245988103,-24.3974253525239,-15.3493403390777,-18.0395400361161,-25.1221897023522,-19.1300230296797,-14.9768489333339,-19.5827491287034
-16.5454555748125,-5.33703349902644,-20.480658514886,19.4466758489229,-24.4607704686071,-25.5887081245405,-28.1384064766639,-15.5849080052802,-20.7028285014142,-16.7510365763061,-15.7900286378996,-22.1438498170103,-16.9732355568804,-13.003858679077,93.4733157010745,-24.565642662494,-22.5725096806895,-14.5166181507298,-23.5174112146236,-21.4037072698429,-17.0488628512995,-19.8277209076585,-25.6184168281865,-18.183127303024,-11.9029821162215,-23.8160201082177,-18.8750021134115,-22.0608949636247,-15.2056401116853,-12.9604142407208,-11.4631292865613,-21.0591620309663,-21.3366683623496,-21.917278344214,-19.4957669328556,-12.2742879036827,-24.1986769472015,-21.1895832219445,-26.459529127409,-21.7205061437958,-16.7310337011161,-21.7488528345002,-17.4211864202331,-25.7436556657217,-17.012585430288,-18.3088686500596,-26.2296227894286,-19.3939441211477,-17.0846759367195,-19.2472693692615
-83.4616510849779,-41.177023597044,-96.7159850856553,-138.758075439685,-116.833281943257,-116.961645872186,-121.284629943609,-68.8914542788857,-91.1775544554268,-74.4994525074269,-67.365985566162,-100.447362481605,-74.7703104955118,-63.4028000330021,387.823569427879,-113.196425344364,-111.076981291529,-72.8269307149738,-107.065983117417,-98.68581853144,-73.0206553100741,-92.8016396662003,-109.0909282652,-78.3011686636928,-52.6688802206469,-115.945194426153,-80.002391681322,-107.256595239091,-65.0184863868513,-67.7346327918541,-52.6414993020998,-97.9076636585738,-102.122637796666,-95.4034096541128,-83.9385834855419,-65.4293371483384,-115.520913936442,-99.4573882752795,-120.417143965609,-107.228630275466,-77.3289832807798,-100.365455606401,-84.254990175968,-117.087776936263,-71.3149509094874,-89.3311126239722,-124.599827010437,-85.4059549207542,-80.3233000149613,-82.9849141735911
-50.6200001738338,-25.3802737119525,-58.5746343435366,-68.9950257939803,-70.8047646528802,-73.7548970567345,-79.3511567285842,-45.7184446651736,-57.3675102207395,-49.0905332968572,-43.200753672922,-65.5043786777119,-48.5103739692024,-42.7940883810177,253.449830270573,-72.1489276627063,-66.3739481480763,-46.6789712333264,-64.7739106034378,-61.0034940864892,-48.8529104540461,-55.8304011204609,-69.5692032197957,-50.1028942619226,-33.3520691620677,-73.2441110452948,-52.345607622129,-63.7555636729623,-38.5858268422223,-41.6914019259517,-35.8720311835754,-63.2815959930208,-61.2596046226575,-63.0701648538598,-56.372876238011,-36.5481198482659,-72.4856460841502,-60.3847003849684,-76.5163943754874,-64.1140677190733,-46.1340382740722,-63.4221004931605,-49.1503721956885,-76.0326775621688,-46.3870701662916,-55.4319268819427,-77.8155915559614,-53.8556461881286,-46.6010173763957,-53.151656551188
-22.8693108835123,-11.8831572368796,-26.6638894844201,-0.718109153104417,-31.9551460565155,-33.2276201267878,-33.8372780111365,-19.0282348390773,-26.0563444226407,-22.882249409141,-19.3655618537094,-27.820907106001,-21.688036922443,-18.1491550965068,184.394699345446,-32.5517669289965,-30.3500020883425,-20.6741000645312,-28.7939327354964,-28.5431935827405,-21.2520046462377,-24.8142746879846,-32.0986630714565,-22.4311207215939,-15.5594711996078,-32.6278737727371,-22.7277126414939,-28.9794697640384,-17.0234178023529,-19.2324198814746,-14.2262328162495,-28.7147696629149,-28.1882990707172,-27.8274082903793,-24.1617187931703,-18.3113632457705,-33.3336984200784,-28.8855877603055,-34.887681474499,-29.6156615980674,-21.4957638069322,-29.8995648249314,-23.1390276974518,-35.2017739672437,-21.4214553171311,-23.8538215369148,-34.5246463777204,-24.1773305991972,-22.2897029603408,-24.0131196177617
-19.0978234259805,-5.14160252093054,-22.709809803661,-35.9333015393872,-26.3919817864912,-26.6851036631018,-28.348321422066,-15.6950876201134,-20.750247386808,-17.1509204072706,-16.8261100685365,-23.4994555460483,-17.5695367078212,-16.0036342508124,52.8258661777674,-27.9004173329493,-24.976076213006,-15.6458107531528,-23.7377365558168,-23.6607176141737,-17.4048426150759,-22.4835860592359,-27.063299756433,-19.5102283618136,-12.4447389296964,-26.3581436877535,-19.7191376923701,-24.3259182938011,-15.4496945381979,-15.2666193842559,-13.1377116168836,-23.5181789306838,-22.8740611565993,-22.4456874557228,-20.4890082066979,-13.8376234459216,-26.6437524827199,-22.8008881005298,-28.5601577868882,-23.5742684272669,-17.9394718358485,-24.7646648413582,-19.3375578283283,-28.2216249739866,-17.5415099100124,-20.4512220199158,-29.2742496326651,-20.4930135437306,-18.93132449079,-19.8633645837612
-29.0706178112002,-12.3768280786392,-36.365688132168,27.24758927869,-41.7944552275039,-41.1694364638153,-46.7386267042267,-24.9308746347524,-34.445122154566,-29.5838769124326,-25.8180189910267,-39.3807903745644,-28.7757217955503,-23.8767771959107,113.625560261158,-43.0792966575225,-39.5934612639779,-24.874002085342,-39.9517345538819,-37.0842958480649,-26.9762474728311,-35.3201904802787,-42.9317529403696,-30.3824418750783,-21.206394937598,-43.1143638855902,-31.2244871160544,-39.4391193850478,-22.2025423127851,-23.1812327252283,-20.6387461262293,-38.3004020815496,-38.569054884204,-36.2314513435535,-31.5240752188954,-22.4856518669145,-41.7799021477094,-37.4314769352633,-45.5228056529095,-38.1027051791682,-26.5099149546702,-39.5646948051711,-31.0915701561721,-45.2237411290211,-26.9130644379578,-31.1053343889792,-44.2143208434821,-33.2597134573885,-27.6918838186822,-33.6987874786387
